Date,Open,High,Low,Close,Adj Close
2019-01-01,69.709999,69.730003,69.43,69.709999,69.709999
2019-01-02,69.443001,70.233002,69.443001,69.709999,69.709999
2019-01-03,69.959999,70.510002,69.959999,69.959999,69.959999
2019-01-04,70.100502,70.130302,69.599998,70.300003,70.300003
2019-01-07,69.525002,69.919998,69.080002,69.525002,69.525002
2019-01-08,69.809998,70.234001,69.720001,69.809998,69.809998
2019-01-09,70.125,70.629997,70.010002,70.330002,70.330002
2019-01-10,70.550499,70.639999,70.32,70.550499,70.550499
2019-01-11,70.410004,70.57,70.349998,70.720001,70.720001
2019-01-14,70.370003,70.938004,70.269997,70.370003,70.370003
2019-01-15,71.084999,71.139999,70.690002,71.084999,71.084999
2019-01-16,71.092499,71.25,70.93,71.092499,71.092499
2019-01-17,71.364998,71.57,70.970497,71.364998,71.364998
2019-01-18,71.029999,71.260002,70.980003,71.030197,71.030197
2019-01-21,71.230003,71.529999,71.129997,71.230003,71.230003
2019-01-22,71.184998,71.447998,71.07,71.5,71.5
2019-01-23,71.230202,71.360001,71.097801,71.230202,71.230202
2019-01-24,71.157303,71.300003,70.940002,71.157303,71.157303
2019-01-25,70.989998,71.223,70.884003,70.989998,70.989998
2019-01-28,70.974998,71.190002,70.860001,70.974998,70.974998
2019-01-29,71.090103,71.453003,71.019997,71.090103,71.090103
2019-01-30,71.422501,71.550003,71.108002,71.620003,71.620003
2019-01-31,71.120003,71.230003,70.839996,71.120003,71.120003
2019-02-01,70.949997,71.480003,70.919998,71.199997,71.199997
2019-02-04,71.451698,71.900002,71.400002,71.451698,71.451698
2019-02-05,71.684998,71.809998,71.510002,71.684998,71.684998
2019-02-06,71.769997,71.769997,71.449997,71.769997,71.769997
2019-02-07,71.540497,71.879997,71.269997,71.540497,71.540497
2019-02-08,71.580002,71.580002,71.019997,71.580002,71.580002
2019-02-11,71.150002,71.300003,71.0345,71.150002,71.150002
2019-02-12,71.230003,71.240997,70.559998,71.230003,71.230003
2019-02-13,70.674599,70.879997,70.389999,70.809998,70.809998
2019-02-14,70.865097,71.239998,70.788002,70.865097,70.865097
2019-02-15,71.010002,71.459999,71,71.010002,71.010002
2019-02-18,71.32,71.510002,71.269997,71.32,71.32
2019-02-19,71.376503,71.610001,71.239998,71.699997,71.699997
2019-02-20,71.305,71.330002,70.931999,71.599998,71.599998
2019-02-21,71.049004,71.233002,70.93,71.300003,71.300003
2019-02-22,71.184998,71.230003,71.019997,71.184998,71.184998
2019-02-25,71.027496,71.150002,70.814903,71.030998,71.030998
2019-02-26,70.824501,71.43,70.801498,71.089996,71.089996
2019-02-27,70.940002,71.480003,70.919998,70.940002,70.940002
2019-02-28,71.215302,71.592499,70.703499,71.190002,71.190002
2019-03-01,70.816002,71.059998,70.688301,70.816002,70.816002
2019-03-04,70.989998,71.199997,70.739502,70.989998,70.989998
2019-03-05,70.900002,70.976501,70.397003,70.900002,70.900002
2019-03-06,70.480003,70.683502,70.020203,70.7425,70.7425
2019-03-07,70.070503,70.141502,69.782997,70.364998,70.364998
2019-03-08,70.487503,70.487503,69.775299,70.487503,70.487503
